epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,109.216,0.589,0.41907,0.93289,0.98142,0.99521,0.99479,0.84404,0.64007,0.43029,0.97631,0.000821206,0.000821206,0.000821206
43,111.984,0.60727,0.42299,0.94911,1,0.99678,0.995,0.82191,0.63691,0.43303,0.95676,0.000800577,0.000800577,0.000800577
44,114.781,0.56898,0.41619,0.93852,1,0.99633,0.995,0.84852,0.59265,0.43481,0.94381,0.000779948,0.000779948,0.000779948
45,117.667,0.55184,0.3999,0.91483,0.99316,0.99259,0.99495,0.83221,0.59694,0.39176,0.94643,0.000759318,0.000759318,0.000759318
46,120.826,0.55541,0.3891,0.93507,0.98382,0.99335,0.99489,0.82976,0.59459,0.4051,0.94499,0.000738689,0.000738689,0.000738689
47,123.861,0.55811,0.40795,0.92544,0.9835,0.99462,0.99412,0.82795,0.61725,0.39995,0.94068,0.00071806,0.00071806,0.00071806
48,127.016,0.54634,0.3889,0.90565,0.9775,0.99423,0.99479,0.85292,0.58284,0.39229,0.91661,0.000697431,0.000697431,0.000697431
49,130.281,0.5541,0.3819,0.91524,0.97188,0.99462,0.99452,0.8379,0.63398,0.3946,0.9377,0.000676802,0.000676802,0.000676802
50,133.451,0.55511,0.39127,0.90876,0.98974,0.98988,0.99484,0.83444,0.61658,0.39806,0.92962,0.000656173,0.000656173,0.000656173
51,136.58,0.5454,0.39289,0.93205,0.98863,0.98679,0.99463,0.84452,0.61457,0.39648,0.92674,0.000635544,0.000635544,0.000635544
52,140.177,0.5332,0.37517,0.90606,0.99766,0.99285,0.99489,0.83663,0.60777,0.38685,0.93491,0.000614915,0.000614915,0.000614915
53,143.357,0.51849,0.36213,0.90444,0.99125,0.98925,0.99416,0.83024,0.61302,0.38553,0.95152,0.000594286,0.000594286,0.000594286
54,146.471,0.52233,0.36907,0.91152,0.98086,0.99593,0.99458,0.82409,0.6164,0.38848,0.95031,0.000573656,0.000573656,0.000573656
55,149.767,0.50421,0.35479,0.89689,0.97692,0.99722,0.99457,0.85477,0.59385,0.37992,0.93027,0.000553027,0.000553027,0.000553027
56,152.898,0.50459,0.3889,0.89818,0.97067,0.99726,0.99448,0.82983,0.61016,0.40082,0.93252,0.000532398,0.000532398,0.000532398
57,156.047,0.51333,0.3577,0.89889,0.99767,0.9821,0.99484,0.84631,0.60255,0.37726,0.92967,0.000511769,0.000511769,0.000511769
58,159.401,0.50092,0.34581,0.89739,0.99138,0.99462,0.99484,0.83982,0.57845,0.35997,0.92267,0.00049114,0.00049114,0.00049114
59,162.554,0.49031,0.34727,0.89783,0.98758,1,0.99473,0.84475,0.58304,0.36205,0.92068,0.000470511,0.000470511,0.000470511
60,165.725,0.4922,0.34205,0.89193,0.99209,0.99785,0.99495,0.82513,0.5934,0.36523,0.92299,0.000449882,0.000449882,0.000449882
61,168.822,0.47896,0.33681,0.89004,0.99061,0.9964,0.995,0.84282,0.56236,0.34975,0.90791,0.000429253,0.000429253,0.000429253
62,171.964,0.47295,0.33495,0.88263,0.99074,0.9978,0.995,0.83607,0.56112,0.34809,0.9116,0.000408623,0.000408623,0.000408623
63,175.122,0.46418,0.32844,0.88075,0.99288,0.99755,0.995,0.84277,0.58085,0.34408,0.93114,0.000387994,0.000387994,0.000387994
64,178.086,0.47729,0.32902,0.90144,0.99243,0.99452,0.99489,0.83133,0.57876,0.34967,0.94231,0.000367365,0.000367365,0.000367365
65,181.157,0.4686,0.32414,0.88724,0.99041,0.99462,0.99489,0.86291,0.56707,0.3527,0.93848,0.000346736,0.000346736,0.000346736
66,184.052,0.47365,0.32936,0.8914,0.98842,0.99527,0.99495,0.8553,0.57032,0.3473,0.93349,0.000326107,0.000326107,0.000326107
67,187.131,0.46438,0.32864,0.87745,0.99688,0.99462,0.99495,0.84949,0.55533,0.34124,0.91793,0.000305478,0.000305478,0.000305478
68,190.012,0.4583,0.32234,0.89373,0.99193,0.99863,0.995,0.86498,0.53862,0.33228,0.91442,0.000284849,0.000284849,0.000284849
69,192.906,0.44094,0.31209,0.87511,0.9878,1,0.995,0.85768,0.54819,0.32927,0.91797,0.00026422,0.00026422,0.00026422
70,195.61,0.43995,0.31051,0.87326,0.98776,1,0.995,0.85667,0.53569,0.32415,0.91297,0.00024359,0.00024359,0.00024359
71,216.569,0.42763,0.30542,0.86851,0.9892,0.99462,0.99495,0.8662,0.5313,0.32861,0.91462,0.000222961,0.000222961,0.000222961
72,218.821,0.43535,0.31138,0.87043,0.99171,0.99462,0.99495,0.86278,0.53202,0.32627,0.91441,0.000202332,0.000202332,0.000202332
73,221.139,0.42633,0.30644,0.85658,0.99011,0.99709,0.995,0.87472,0.52278,0.32212,0.91156,0.000181703,0.000181703,0.000181703
74,223.501,0.40832,0.29514,0.85943,0.98805,0.99658,0.995,0.87921,0.51547,0.31557,0.90786,0.000161074,0.000161074,0.000161074
75,225.782,0.43917,0.30682,0.86396,0.98803,0.99543,0.995,0.88228,0.5027,0.31461,0.90294,0.000140445,0.000140445,0.000140445
76,228.251,0.41601,0.29156,0.87069,0.98785,0.99554,0.995,0.88307,0.50221,0.30942,0.90236,0.000119816,0.000119816,0.000119816
77,231.092,0.41816,0.30087,0.85321,0.98975,0.99507,0.995,0.88017,0.50436,0.31109,0.90369,9.91865e-05,9.91865e-05,9.91865e-05
78,233.966,0.40623,0.29397,0.85972,0.99014,0.99488,0.995,0.8786,0.50254,0.30624,0.90319,7.85574e-05,7.85574e-05,7.85574e-05
79,236.826,0.391,0.28565,0.85145,0.99053,0.99383,0.995,0.87995,0.49849,0.30771,0.90196,5.79283e-05,5.79283e-05,5.79283e-05
80,239.865,0.40266,0.28405,0.85382,0.99176,0.9924,0.995,0.88737,0.49871,0.30893,0.90234,3.72991e-05,3.72991e-05,3.72991e-05
