epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.63445,2.23812,4.19416,2.63068,0.00333,1,0.10082,0.02821,1.95788,3.23786,2.2058,0.000533333,0.000533333,0.000533333
2,2.94319,2.17832,4.30473,2.57402,0.00333,1,0.12402,0.03247,2.01716,3.23717,2.21275,0.0011802,0.0011802,0.0011802
3,4.089,2.24472,4.23284,2.57356,0.00333,1,0.11798,0.03353,1.98506,3.28364,2.18249,0.00180507,0.00180507,0.00180507
4,5.22718,2.5305,4.52941,2.85354,0.00333,1,0.00863,0.00181,2.75815,3.92322,3.95655,0.001901,0.001901,0.001901
5,6.4795,2.6901,4.61454,2.89178,0.0147,0.18182,0.01016,0.00287,2.47159,10.6611,22.8447,0.001868,0.001868,0.001868
6,7.82089,2.15818,4.03164,2.63243,0.01276,0.27273,0.01069,0.00271,2.48464,65.8905,68.7198,0.001835,0.001835,0.001835
7,9.13563,2.37349,4.29997,2.86628,0.00372,0.95455,0.01041,0.00317,2.45574,3.99903,74.5546,0.001802,0.001802,0.001802
8,10.4398,2.10897,4.12706,2.63751,0.01442,0.63636,0.05027,0.01209,2.54726,156.254,372.41,0.001769,0.001769,0.001769
9,11.7928,2.07288,3.73086,2.62186,0.00349,0.77273,0.00413,0.00175,nan,nan,nan,0.001736,0.001736,0.001736
10,13.1236,2.0447,3.68519,2.43683,0.00381,0.95455,0.00451,0.00187,nan,nan,nan,0.001703,0.001703,0.001703
11,14.4977,1.9842,3.41668,2.41509,0.00495,0.63636,0.00577,0.00139,2.59872,1240.72,265.523,0.00167,0.00167,0.00167
12,15.7376,1.84347,3.37471,2.32883,0.00495,0.45455,0.00765,0.00187,2.48502,744.703,90.1556,0.001637,0.001637,0.001637
13,17.0065,1.85408,3.2388,2.23768,0.01977,0.54545,0.01712,0.00535,2.3182,34.0757,39.0886,0.001604,0.001604,0.001604
14,18.3092,1.83497,3.09248,2.20555,0.28456,0.40909,0.19438,0.06744,2.31482,3.04261,18.5291,0.001571,0.001571,0.001571
15,19.6952,1.81508,2.97279,2.17911,0.42876,0.22727,0.29544,0.07703,2.36085,2.73771,19.0345,0.001538,0.001538,0.001538
16,20.9823,1.75054,2.83157,2.1453,0.03959,0.86364,0.06959,0.01883,2.44953,3.1508,11.9232,0.001505,0.001505,0.001505
17,22.3557,1.69447,2.732,2.08004,0.14184,0.18182,0.12742,0.05841,2.41541,3.37547,4.44222,0.001472,0.001472,0.001472
18,23.6025,1.7629,2.66826,2.10897,0.00318,0.95455,0.02233,0.00525,2.39728,3.42999,3.9413,0.001439,0.001439,0.001439
19,25.0242,1.7296,2.58504,2.0631,0.10679,0.18182,0.14986,0.02413,2.35416,3.22169,4.0991,0.001406,0.001406,0.001406
20,26.3316,1.6218,2.49247,1.93139,0.57659,0.13636,0.30191,0.05696,2.27876,3.06943,3.85957,0.001373,0.001373,0.001373
21,27.5829,1.65155,2.37773,1.964,0.23705,0.22727,0.22105,0.07627,2.12162,2.96817,3.55263,0.00134,0.00134,0.00134
22,28.824,1.6952,2.2774,1.97413,0.69735,0.40909,0.5681,0.26123,1.89478,2.61252,3.13529,0.001307,0.001307,0.001307
23,30.0924,1.62517,2.2576,1.86258,0.58605,0.5,0.61358,0.30189,1.79222,2.48328,2.59909,0.001274,0.001274,0.001274
24,31.5145,1.56092,2.06273,1.82475,0.51323,0.63636,0.60658,0.28532,1.91724,2.36977,2.45148,0.001241,0.001241,0.001241
25,32.8474,1.4904,2.05626,1.75675,0.81618,0.77273,0.80558,0.3184,1.91698,2.34205,2.37056,0.001208,0.001208,0.001208
26,34.2776,1.50119,1.94191,1.76426,0.77465,0.68182,0.81967,0.34614,1.83531,2.20001,2.25349,0.001175,0.001175,0.001175
27,35.4715,1.38128,1.89315,1.66335,0.72867,0.68182,0.79981,0.34294,1.82828,2.23709,2.20675,0.001142,0.001142,0.001142
28,36.7085,1.46253,1.94557,1.70604,0.78341,0.59091,0.67196,0.32701,1.66142,2.33873,1.96941,0.001109,0.001109,0.001109
29,37.9448,1.4109,1.87371,1.68645,0.83233,0.67717,0.80262,0.3859,1.70735,2.24452,2.38547,0.001076,0.001076,0.001076
